# OH sky emission lines for Magellan/LDSS3.
# VACUUM wavelengths, converted from the air wavelengths of the UVES
# sky emission atlas identification tables (gident_*.dat).
# Restricted to 6000-10500 A; unresolved groups within
# 3.0 A blended to their flux-weighted centroid; brightest
# 300 retained.  amplitude is the summed atlas FLUX.
|         wave | ion | NIST | Instr |    amplitude |         Source |
|  9570.078877 |  OH |    1 |     0 |    36.570300 | UVES_sky_atlas |
|  9594.530478 |  OH |    1 |     0 |     0.898830 | UVES_sky_atlas |
|  9610.337506 |  OH |    1 |     0 |     6.638850 | UVES_sky_atlas |
|  9617.840515 |  OH |    1 |     0 |     0.412500 | UVES_sky_atlas |
|  9623.706385 |  OH |    1 |     0 |    15.845580 | UVES_sky_atlas |
|  9632.634980 |  OH |    1 |     0 |     2.307290 | UVES_sky_atlas |
|  9660.671555 |  OH |    1 |     0 |     4.496890 | UVES_sky_atlas |
|  9671.719737 |  OH |    1 |     0 |     6.530680 | UVES_sky_atlas |
|  9676.896549 |  OH |    1 |     0 |     1.636900 | UVES_sky_atlas |
|  9683.790108 |  OH |    1 |     0 |    17.457760 | UVES_sky_atlas |
|  9688.378175 |  OH |    1 |     0 |     0.421160 | UVES_sky_atlas |
|  9693.378911 |  OH |    1 |     0 |     4.794980 | UVES_sky_atlas |
|  9701.944935 |  OH |    1 |     0 |    18.444880 | UVES_sky_atlas |
|  9707.457127 |  OH |    1 |     0 |     0.575820 | UVES_sky_atlas |
|  9714.378382 |  OH |    1 |     0 |     9.082890 | UVES_sky_atlas |
|  9723.061087 |  OH |    1 |     0 |    29.619470 | UVES_sky_atlas |
|  9739.763954 |  OH |    1 |     0 |    13.856780 | UVES_sky_atlas |
|  9748.426623 |  OH |    1 |     0 |     5.918140 | UVES_sky_atlas |
|  9793.586461 |  OH |    1 |     0 |    69.055580 | UVES_sky_atlas |
|  9802.092940 |  OH |    1 |     0 |    23.696780 | UVES_sky_atlas |
|  9810.010459 |  OH |    1 |     0 |     3.770760 | UVES_sky_atlas |
|  9814.670206 |  OH |    1 |     0 |     7.558690 | UVES_sky_atlas |
|  9820.358381 |  OH |    1 |     0 |     5.046350 | UVES_sky_atlas |
|  9831.691089 |  OH |    1 |     0 |     3.533290 | UVES_sky_atlas |
|  9838.660097 |  OH |    1 |     0 |     0.386880 | UVES_sky_atlas |
|  9851.204884 |  OH |    1 |     0 |    16.933290 | UVES_sky_atlas |
|  9874.854473 |  OH |    1 |     0 |    50.261760 | UVES_sky_atlas |
|  9888.374234 |  OH |    1 |     0 |     2.722510 | UVES_sky_atlas |
|  9897.499976 |  OH |    1 |     0 |    24.260950 | UVES_sky_atlas |
|  9903.120920 |  OH |    1 |     0 |     0.623390 | UVES_sky_atlas |
|  9917.353346 |  OH |    1 |     0 |    63.428720 | UVES_sky_atlas |
|  9947.749881 |  OH |    1 |     0 |   103.783970 | UVES_sky_atlas |
|  9959.328533 |  OH |    1 |     0 |    47.692560 | UVES_sky_atlas |
|  9964.514814 |  OH |    1 |     0 |    42.501650 | UVES_sky_atlas |
|  9976.826660 |  OH |    1 |     0 |    22.298870 | UVES_sky_atlas |
| 10003.180266 |  OH |    1 |     0 |     7.884280 | UVES_sky_atlas |
| 10015.695890 |  OH |    1 |     0 |   111.783470 | UVES_sky_atlas |
| 10024.124545 |  OH |    1 |     0 |     3.380610 | UVES_sky_atlas |
| 10028.224154 |  OH |    1 |     0 |    24.085710 | UVES_sky_atlas |
| 10038.062546 |  OH |    1 |     0 |     3.488550 | UVES_sky_atlas |
| 10046.287855 |  OH |    1 |     0 |    14.266270 | UVES_sky_atlas |
| 10063.381430 |  OH |    1 |     0 |    24.367800 | UVES_sky_atlas |
| 10072.358139 |  OH |    1 |     0 |    14.605810 | UVES_sky_atlas |
| 10085.222022 |  OH |    1 |     0 |    55.339500 | UVES_sky_atlas |
| 10098.834109 |  OH |    1 |     0 |     0.776180 | UVES_sky_atlas |
| 10106.394752 |  OH |    1 |     0 |    21.741930 | UVES_sky_atlas |
| 10126.729274 |  OH |    1 |     0 |    47.064950 | UVES_sky_atlas |
| 10135.216992 |  OH |    1 |     0 |     2.638180 | UVES_sky_atlas |
| 10140.095975 |  OH |    1 |     0 |     0.680490 | UVES_sky_atlas |
| 10145.838059 |  OH |    1 |     0 |     1.046360 | UVES_sky_atlas |
| 10151.448536 |  OH |    1 |     0 |     3.203920 | UVES_sky_atlas |
| 10155.866350 |  OH |    1 |     0 |    28.802190 | UVES_sky_atlas |
| 10163.494941 |  OH |    1 |     0 |    12.948640 | UVES_sky_atlas |
