# lines
|               wave | ion | NIST | Instr |   Source | amplitude |
|  8669.269757663325 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8670.718750946258 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8674.612888558371 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8676.054448544006 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   8680.15367438259 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8681.586305879788 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8685.887642026715 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8687.290683153655 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8758.715853107018 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8760.266843991907 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8761.339297295255 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8761.893394302231 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|    8765.8336183103 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   8766.40440004612 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8767.922036898592 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8776.211246713114 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8778.319353067562 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|    8791.1778357731 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8825.459512195152 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8827.114107077232 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8833.020607835275 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8832.952149065612 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8836.448060897505 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8849.600617270818 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8850.028428846683 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8866.979000072577 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8867.594209889832 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8885.852165208646 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8903.109826104108 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   8919.63500030152 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8943.397040293781 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8957.992968899425 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   8958.00787257332 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8988.366102690756 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9001.135434093536 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9001.55383672084 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9038.055209458218 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9049.247467786996 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9049.86329310678 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9092.504548210916 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9092.566269155248 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9102.391679657361 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9103.167615137936 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9151.782916741426 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9152.209024916976 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9160.69568280341 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9161.639294956816 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9216.247518501044 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9224.296610237052 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9225.400620273122 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9293.253396207629 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9294.630315392194 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9305.99149605901 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9307.362280626476 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9309.054762111937 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9309.567487328339 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9310.749190275774 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9312.905648913804 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9313.329339914595 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9317.81617411475 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9322.459742038034 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9323.770920964627 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9330.540673963491 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9331.11728599436 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9337.870730746432 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9348.565744150892 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9367.869501635543 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9374.335185667238 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|    9375.9595202841 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9382.82549156537 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9382.887694307341 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9386.771943091177 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9401.846903405441 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9402.305935846101 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9419.748175326002 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9422.718990913821 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9439.658884418985 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9448.245392413828 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9458.509724011023 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9476.89709014695 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9502.827682816063 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9519.27243433397 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9519.38680204677 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9536.93660247256 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9552.528063889993 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9567.105717364948 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9567.579294734378 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9607.701509373366 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9620.652966276402 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|    9621.3231793117 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9662.645866501649 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9668.708215789833 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9668.658012061745 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9669.748429625513 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9674.230828838432 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9679.959646742944 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9680.808579904524 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9682.244622411063 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9690.490646882854 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9699.333422682816 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9711.704139590573 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9719.832047102293 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9734.799753000625 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9735.260874968595 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9738.098544381051 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9745.21717633134 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9746.292227502312 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9764.42438126323 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9789.435930865859 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9789.398918743305 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9791.103479870002 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9796.313506361981 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9796.766070717293 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9799.666043846071 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9799.735737429091 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9807.162176377615 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9807.837150752683 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9811.593578547148 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9812.37039695778 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9816.618093601286 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9817.906411185266 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9818.404986842776 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9818.369955271632 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9818.488702571876 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9827.53395945972 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9828.90376647272 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9848.485274003102 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9872.14551055204 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9885.736474339583 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9886.58364588792 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9894.234402721253 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9894.734389082238 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9895.860549338358 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9913.809239008518 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9914.669631957728 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9914.629089319658 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9921.864467383877 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9941.652683260081 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9942.20371851618 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9945.291063989996 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9946.509540806122 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9947.730357620154 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9948.36623217213 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9949.68321456444 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9956.582689824369 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9960.351271526451 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   9961.71552580168 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9962.117407583497 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9970.738735936598 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9971.843929285476 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9972.334908050625 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9978.564301456472 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|    9979.5564987978 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9979.368145148354 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9979.389972895027 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9980.008783065057 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  9980.329383461365 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
| 10000.008048182257 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
| 10000.883176055942 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
| 10011.361514406544 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  10012.81717335719 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
| 10013.688721942517 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
